Name,Day,URL,Message,Party,Platform,Month,Year,Month Year,Date,Party colour,West Midlands constituencies,Cladding mention
Alan Mak,2017-06-22,https://www.facebook.com/AlanMakHavant/posts/1917455705208939,"See below for an update on what actions I'll be taking as a result of the Grenfell Tower fire last week: Like all of you, I was shocked by the devastation and horror of the Grenfell Tower fire last week. My thoughts and prayers are with all those who lost loved ones or suffered as a result of the fire. My gratitude also goes to our brave firefighters and emergency services who excelled in the most difficult of circumstances. As we come to terms with the aftermath of the fire, I wanted to let you know what I’ll be doing as your local MP to ensure that this tragedy is not repeated elsewhere in the UK, particularly in Havant. It is right that this process starts with the independent public inquiry that has been ordered by the Prime Minister to investigate the causes of the fire. If this judge-led investigation finds that our fire safety rules surrounding tall buildings need to be strengthened, then I’ll support appropriate action in Parliament. I have already met the Housing &...",Conservative,Facebook,6,2017,06/2017,2017/06,A) Conservative,#N/A,No cladding
Alan Mak,2017-06-28,https://www.facebook.com/AlanMakHavant/posts/1920644648223378,"I thought I’d update you on the work I have been doing to seek reassurances for residents living in high rise flats in the Havant constituency. Below is the full letter I have received from The Guinness Partnership, who own 168 flats in three high rise buildings in Leigh Park. While I’m thankful that none of the buildings have the same type of cladding as used at Grenfell Tower in London, I welcome the review by Guinness into fire safety and I have asked for a copy of their final report to be sent to me. Nationally, I fully support the announcement yesterday by the Government of a new independent expert advisory panel to advise on any immediate measures that can be put in place to make buildings safe. I have already met the Fire Minister and the Housing & Planning Minister about Grenfell and the actions we can take going forward. This expert panel, which is separate to the Public Inquiry, will look at any immediate action that is required so the public can be confident everything...",Conservative,Facebook,6,2017,06/2017,2017/06,A) Conservative,#N/A,Cladding
Albert Owen,2017-06-14,https://twitter.com/AlbertOwenMP/status/875124856282648579,Began today in London before travelling home-my thoughts remains with the families and residents of Grenfell Tower in north Kensington.,Labour,Twitter,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Alex Chalk,2017-06-15,https://www.facebook.com/alexchalkchelt/posts/1570140656331504,"Following the dreadful tragedy at Grenfell Tower in London I have today spoken to Gloucestershire's Chief Fire Officer to seek urgent reassurance about all high-rise buildings in Cheltenham. I am advised that fire crews have now visited all our relevant buildings. They have carried out further risk assessments and provided reassurance to local residents. I am assured that there is no cause for concern and that the buildings are safe. Government Ministers also gave instructions that checks should be carried out on every high rise with similar cladding to that at Grenfell Tower. None are affected in Gloucestershire. Meanwhile, I attended a briefing in Parliament from ministers this afternoon, and the Prime Minister has ordered a full public inquiry. No stone must be left unturned in getting to the bottom of what happened in Grenfell Tower. My thoughts are with all those affected by this horrific incident.",Conservative,Facebook,6,2017,06/2017,2017/06,A) Conservative,#N/A,Cladding
Alex Chalk,2017-06-22,https://www.facebook.com/alexchalkchelt/posts/1577846402227596,"Grenfell Tower update: implications for Cheltenham This morning I was in the House of Commons to hear the PM's further statement about the appalling Grenfell Tower tragedy. In that statement she indicated that other high rise blocks in the UK have been found to be using cladding, samples of which have been shown to be 'combustible'. More results will be made public in the next 48 hours. This was very concerning. My immediate thought, obviously, was for residents in Cheltenham. So, having spoken further to the county's Chief Fire Officer today, I can provide the following update: Cheltenham has zero high-rise buildings with similar cladding to Grenfell Tower. However, there are three medium-rise buildings that have been confirmed to use a different type of cladding, known as 'Rockwool'. I have indicated that core sampling and fire testing of this cladding must be carried out urgently. I am assured that arrangements are being made to do so. An expedited report will then be provided...",Conservative,Facebook,6,2017,06/2017,2017/06,A) Conservative,#N/A,Cladding
Alex Cunningham,2017-06-26,https://www.facebook.com/acunninghammp/posts/578699402300810,"""Thirteen Group own most of the social housing across Teesside. They paid for fire-retardant, non-toxic cladding for the balconies in Kennedy Gardens in Billingham in my constituency. “They ended up with flammable toxic material now being removed. One thing paid for, and another dangerous alternative provided.""",Labour,Facebook,6,2017,06/2017,2017/06,J) Labour,#N/A,Cladding
Alison McGovern,2017-06-18,https://www.facebook.com/alisonmcgovernforwirralsouth/posts/1183704885067666,This looks excellent from @NoraMulready. Please share. https://t.co/RwZjbDWiG1,Labour,Facebook,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Alison McGovern,2017-06-25,https://www.facebook.com/alisonmcgovernforwirralsouth/posts/1189523897819098,David is absolutely correct here. Absolutely correct. https://t.co/kaaZWRsXIW:=:https://twitter.com/DavidLammy/status/878922178909130752,Labour,Facebook,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Alison McGovern,2017-06-29,https://www.facebook.com/alisonmcgovernforwirralsouth/posts/1193413030763518,Oh god. This is just awful. https://t.co/NUPECyhbJY:=:https://twitter.com/DavidLammy/status/880459434828365825,Labour,Facebook,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Alison McGovern,2017-07-06,https://www.facebook.com/alisonmcgovernforwirralsouth/posts/1199408536830634,"This week. It has been a busy one so far: catching up on Brexit, Syria, Yemen, the latest on school funding, free school meals, and in the middle of it all, asking the Prime Minister when she will publish Bishop James Jones' report on the experience of the Hillsborough families. Why does this matter? Because the Prime Minister herself asked Bishop James to report to her about the challenges faced by this amazing group of people who have dealt with the worst possible catastrophe, and then had to fight the state to be treated properly, and to see the truth come out. Presumably, she asked for this report because she thought there was something to learn. If so, those lessons are now urgent. I believe that there are still parts of the state that do not know how to treat people who are bereaved or who have survived catastrophe. And if we don't listen now, whether it is Grenfell tower, or New Ferry explosion, or any other horrific event, we need a Government that is prepared to work with...",Labour,Facebook,7,2017,07/2017,2017/07,J) Labour,#N/A,No cladding
Alison McGovern,2017-11-17,https://www.facebook.com/alisonmcgovernforwirralsouth/posts/1311824458922374,Please give what you can. We need a Hillsborough law to fundamentally change the relationship between state and citizen. #ynwa https://t.co/mBhPe1Oi1Q:=:https://twitter.com/Knox_Harrington/status/931490258478301184,Labour,Facebook,11,2017,11/2017,2017/11,J) Labour,#N/A,No cladding
Alison McGovern,2018-04-13,https://www.facebook.com/alisonmcgovernforwirralsouth/posts/1445177502253735,Well worth your time reading this in advance of Sunday. #JFT96 https://t.co/cDHKXvBas3:=:https://twitter.com/Knox_Harrington/status/984780253334777862,Labour,Facebook,4,2018,04/2018,2018/04,J) Labour,#N/A,No cladding
Alison McGovern,2018-05-11,https://www.facebook.com/alisonmcgovernforwirralsouth/posts/1469699676468184,"This is important. Getting a diverse panel hopefully increases trust for those affected by #Grenfell, esp families of the bereaved. This is a key learning from the Hillsborough Independent Panel and Bishop James Jones' work. A lot more to do though. https://t.co/za2GRBvCK3:=:https://www.theguardian.com/uk-news/2018/may/11/theresa-may-expands-grenfell-inquiry-panel-after-survivors-pressure?CMP=share_btn_tw",Labour,Facebook,5,2018,05/2018,2018/05,J) Labour,#N/A,No cladding
Alison McGovern,2018-05-14,https://www.facebook.com/alisonmcgovernforwirralsouth/posts/1472647296173422,We have no choice. It is unbearable to us that the struggle we have witnessed and the cost to the lives of those who are forced to campaign should be carried again. #jft96 #grenfell ❤💚 https://t.co/9nCxZGON9c:=:https://twitter.com/realbritainros/status/996076882381635584,Labour,Facebook,5,2018,05/2018,2018/05,J) Labour,#N/A,No cladding
Alison McGovern,2018-05-16,https://www.facebook.com/alisonmcgovernforwirralsouth/posts/1474204166017735,I have sent a letter to the Prime Minister to urgently highlight the need for a Hillsborough Law. Especially at a time when we are debating the aftermath of the Grenfell fire in the House of Commons.,Labour,Facebook,5,2018,05/2018,2018/05,J) Labour,#N/A,No cladding
Alison McGovern,2018-05-16,https://twitter.com/Alison_McGovern/status/996745191540314113,House of Commons is discussing the Grenfell tower disaster. There are clear echoes of what happened after Hillsborough. A huge number of people have joined me in writing to @theresa_may to ask her to expedite #HillsboughLaw now. https://t.co/LT7Cir48P3,Labour,Twitter,5,2018,05/2018,2018/05,J) Labour,#N/A,No cladding
Alison McGovern,2018-05-14,https://twitter.com/Alison_McGovern/status/996092381438070786,We have no choice. It is unbearable to us that the struggle we have witnessed and the cost to the lives of those who are forced to campaign should be carried again. #jft96 #grenfell ❤💚 https://twitter.com/realbritainros/status/996076882381635584,Labour,Twitter,5,2018,05/2018,2018/05,J) Labour,#N/A,No cladding
Alison McGovern,2018-05-11,https://twitter.com/Alison_McGovern/status/994924033035644928,"This is important. Getting a diverse panel hopefully increases trust for those affected by #Grenfell, esp families of the bereaved. This is a key learning from the Hillsborough Independent Panel and Bishop James Jones' work. A lot more to do though. https://www.theguardian.com/uk-news/2018/may/11/theresa-may-expands-grenfell-inquiry-panel-after-survivors-pressure?CMP=share_btn_tw",Labour,Twitter,5,2018,05/2018,2018/05,J) Labour,#N/A,No cladding
