Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Nigel Huddleston MP,756,2018-05-23 09:03:28 EDT,Native Video,22,6,1,0,0,0,0,0,0,original,326,982,0,https://www.facebook.com/NigelHuddlestonMP/posts/1048934605254791,"In PMQs today, I asked the Prime Minister to confirm that it is her intention to go further than Dame Judith Hackitt's recommendations on building safety regulations and ban inflamable cladding, so that we avoid a horrific tragedy like Grenfell ever happening again. I was delighted that the Prime Minister confirmed that the Government is minded to go further than the recommendations and ban all combustible materials in cladding on high rise buildings.",https://www.facebook.com/NigelHuddlestonMP/videos/1048934605254791/,,PMQ on Grenfell Inquiry,,,,1.45
Paul Scully MP,3901,2018-05-19 08:56:25 EDT,Native Video,18,0,3,2,0,0,0,0,0,original,262,349,0,https://www.facebook.com/scullyforsutton/posts/1675382599163946,"My weeks are always busy and varied so I thought I'd just try to capture some of the things that I've been working on this week. Grenfell, Burma, Bangladesh, Sri Lanka, counterfeit cigarettes, St Helier, local businesses and of course Brexit among the topics.",https://www.facebook.com/scullyforsutton/videos/1675382599163946/,,scully weekly update 19.05.18,,,,-1.608695652173913
Andrew Rosindell MP,1213,2018-05-19 05:01:38 EDT,Photo,2,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/AndrewRosindellofficial/posts/2209422329074088,,https://www.facebook.com/photo.php?fbid=10160685783790727&set=p.10160685783790727&type=3,,Andrew,"Proud to have chaired Monday’s debate into the Grenfell Tower Inquiry, Westminster Hall, House of Commons and to call a 72 second silence in memory of the 72 people who perished - a moving discussion in the presence of victims and their families. @GrenfellSupport.",,,-0.8461538461538461
Paul Scully MP,3905,2018-05-17 04:48:07 EDT,Native Video,18,1,1,0,0,0,0,0,0,original,270,319,0,https://www.facebook.com/scullyforsutton/posts/1673541386014734,"Yesterday I had another opportunity to pay tribute to the Grenfell Speaks campaigners and talk about the need to ensure we act, not just say soothing words, to ensure the community get the housing and the justice they need and deserve.",https://www.facebook.com/scullyforsutton/videos/1673541386014734/,,Grenfell speech 17.05.18,,,,-1.95
Tom Pursglove MP,2149,2018-05-15 15:00:02 EDT,Photo,3,0,0,0,0,1,0,0,0,,0,0,0,https://www.facebook.com/TomPursgloveMP/posts/979456655566480,"Last Tuesday, I went to a drop-in session at Speaker’s House organised by Grenfell United. This was a very useful opportunity to get an update on the current situation, but also to meet and talk to survivors about their individual experiences, particularly given the parliamentary debate which is to take place next week. The conversations were extremely difficult and very, very, moving, but an important opportunity for us as MPs to get the direct feedback of those so tragically affected, and make sure we are doing everything we possibly can to help them rebuild their lives and ensure a tragedy like this can never happen again. Photography by Marley Edwards.",https://www.facebook.com/TomPursgloveMP/photos/a.222860804559406.1073741828.202689703243183/979456575566488/?type=3,,,,,,-6.25
Paul Scully MP,3884,2018-05-15 07:14:24 EDT,Native Video,29,0,5,1,0,0,0,0,0,original,284,474,0,https://www.facebook.com/scullyforsutton/posts/1671923546176518,"In my opening speech during the Grenfell Inquiry debate, I read out the names of the 72 victims of the fire to show that this isn't about process but people. The Prime Minister has shown that she is listening by appointing two additional panel members but we need to do more to meet the needs and expectations of Grenfell Speaks. They feel ignored, forgotten about and that the establishment treats them as a bother. It isn't the case but the belief is totally understandable. The government at every level, national and local, needs to continue to work hard to ensure that the survivors can get answers, start to rebuild their lives and see justice done.",https://www.facebook.com/scullyforsutton/videos/1671923546176518/,,Grenfell Inquiry debate in Parliament 14.05.18,,,,-1.1142857142857143
Paul Scully MP,3884,2018-05-15 06:45:19 EDT,Photo,29,3,0,1,0,0,0,0,0,,0,0,0,https://www.facebook.com/scullyforsutton/posts/1671906196178253,"Yesterday was a tough but rewarding day. I led the debate in Parliament about the #Grenfell Inquiry. Grenfell Speaks were out in Parliament Square beforehand to express their frustration, despair and anger and of course to pay tribute to the 72 victims of the fire. Reading some of the pen sketches about the victims in preparation for my speech was so moving and really hammered home the need to ensure that every part of the rehousing and recovery process is people-centred. I'm really grateful to Grenfell United and members of the community to take the time to speak to me and I value their dignified determination and resolve.",https://www.facebook.com/scullyforsutton/photos/a.489584281077123.99296.479504198751798/1671903339511872/?type=3,,Photos from Paul Scully MP's post,,,,-1.0303030303030303
Sir Peter Bottomley MP,1416,2018-05-04 10:39:21 EDT,Photo,13,1,0,1,0,0,0,0,0,,0,0,0,https://www.facebook.com/sirpeterbottomleyofficial/posts/757246844399160,"Last week the All-Party Group on Leasehold and Commonhold Reform, to which I am Co-chair, held a highly successful meeting with over 80 attendees from within the leasehold sector including the legal profession and many of my colleagues from across Parliament. Speakers included John Hall, Director at the Ministry of Housing Communities and Local Government, who updated MPs and leasehold sector insiders on government action to outlaw leasehold houses and reduce ground rents to as low as zero. Law Commissioner Professor Nicholas Hopkins outlined progress on his review of leasehold enfranchisement and extension, and commonhold. After the meeting there was a drinks reception to celebrate the achievements of the Leasehold Knowledge Partnership, which is also the secretariat of the APPG, in finally getting leasehold reform onto the government’s agenda. We are making progress, none of which would have been possible without the hard work of many individuals and groups who are uniting for...",https://www.facebook.com/sirpeterbottomleyofficial/photos/a.295021833954999.1073741828.293136030810246/757245534399291/?type=3,,,,,,-1.8666666666666667
Robert H Halfon,5013,2018-05-04 10:08:00 EDT,Native Video,8,2,0,1,0,0,0,0,0,original,319,319,0,https://www.facebook.com/RobertHalfon/posts/1917831748290846,"Sajid Javid is the new Home Secretary. On Tuesday, during his first appearance in the Commons in his new role, I asked him whether he'd make social justice a defining part of his mission in his new role - following all of the work he did as Communities Secretary in fighting anti-Semitism, looking after the victims of Grenfell and championing affordable housing. Hear what he had to say...",https://www.facebook.com/RobertHalfon/videos/1917831748290846/,,Sajid Javid and Social Justice - 30 April 2018,,,,-2.8181818181818183
Sir Peter Bottomley MP,1413,2018-05-02 10:36:42 EDT,Native Video,33,4,5,0,0,0,0,0,0,original,312,1227,0,https://www.facebook.com/sirpeterbottomleyofficial/posts/755917514532093,"Earlier this week I welcomed the new Secretary of State for Housing, Communities, and Local Governments, James Brokenshire MP, and stressed the importance that he continue the work begun by his predecessor, Sajid Javid, had achieved in further fighting for the rights of leaseholders across the country. Following the tragedy of Grenfell Tower, it is more important than ever that we ensure dangerous cladding is removed post-haste, with the financial implications borne by those responsible for its use rather than those it was imposed on. The Secretary of States' response was highly receptive and signals that, as I would hope, he will continue to work alongside myself, my Parliamentary colleagues, and Leasehold Knowledge Partnership, in furthering the work to the protect endangered lives of leaseholders across this country.",https://www.facebook.com/sirpeterbottomleyofficial/videos/755917514532093/,,"Secretary of State for Housing, Communities, and Local Governments - 30/04/18",,,,2.210526315789474
