Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Imran Hussain MP,9326,2018-06-06 09:17:51 EDT,Status,2,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/MP.ImranHussain/posts/2116128135343610,Retweeted Richard Burgon MP (@RichardBurgon): Today the Grenfell Inquiry heard that a number of firms involved in the refurbishments have showed “no desire to assist the inquiry”. Disgraceful. That's why the PM should now enact the Hillsborough Law to ensure such companies must act in the public interest and with candour. https://t.co/lr03MsRL2I:=:https://twitter.com/RichardBurgon/status/1004059459721756672/photo/1,,,,,,,-0.75
Jeremy Corbyn,1395716,2018-06-05 14:29:00 EDT,Native Video,3214,225,851,505,10,32,3,6,0,original,48340,62375,0,https://www.facebook.com/JeremyCorbynMP/posts/10156494057313872,"It was a pleasure to be at Al Manaar Mosque for yesterday's Iftar, the moment at the end of a day of fasting when people come together to share a meal. Al Manaar Mosque is just a mile from Grenfell Tower and its members were among the first people to respond to the tragic fire.",https://www.facebook.com/JeremyCorbynMP/videos/10156494057313872/,,Jeremy Corbyn | Breaking Iftar During Ramadan,,,,1.511540860885839
Richard Burgon MP,25748,2018-06-05 13:13:24 EDT,Status,135,11,30,0,0,1,1,4,0,,0,0,0,https://www.facebook.com/richardburgonmp/posts/2055214178086856,"Today I attended the Grenfell Inquiry and heard from lawyers representing the bereaved families and survivors. One of the lawyers called for changes to the Terms of Reference so that they also include whether the treatment of residents and survivors, based on their race, religion and social class played any part in the events that led to the fire. This is an entirely just request and something that the Prime Minister could - and should - ensure under the powers she has under 2005 Inquiries Act. Earlier, another lawyer said that a number of firms involved in refurbishing Grenfell Tower have showed “no desire to assist the inquiry” and that this silence “deprives the families of the degree of resolution and understanding to which they are entitled and has only served to increase their pain and uncertainty."" That is why the Prime Minister should now enact the Hillsborough Law. After the conclusion of the Hillsborough Inquest, the families called for a lasting legacy to prevent other...",,,,,,,-1.379120879120879
Jeremy Corbyn,1394830,2018-06-04 17:04:41 EDT,Photo,28522,2005,8411,5803,123,91,7,69,0,,0,0,0,https://www.facebook.com/JeremyCorbynMP/posts/10156492374593872,"It was a pleasure to help prepare food at Al-Manaar Mosque for this evening's Iftar, the moment at the end of a day of fasting during Ramadan when people come together to share a meal. It's just a mile from Grenfell Tower and worshippers here were among the first to respond to last year's tragic fire. They continue to provide for the community and have opened a Grenfell counselling service.",https://www.facebook.com/JeremyCorbynMP/photos/a.468063663871.262492.330250343871/10156492374078872/?type=3,,,,,,9.178760701182226
Dr Rosena Allin-Khan,12762,2018-06-03 14:05:07 EDT,Link,62,1,1,7,0,0,0,0,0,,0,0,0,https://www.facebook.com/DrRosena/posts/636878059988923,"My very first week as a doctor was the week of the 7/7 bombings. I know from day one what terror attacks do to the emergency services. An incredible amount of work goes into preparing for multiple casualties. And the emergency services themselves can be very nervous. It’s a very daunting time. But without fail, our emergency services step up. It was no different during the London Bridge attack. The police officers who answered - within minutes - the first call had no idea what they were going into. It is times like that we really do see the best of our services. We must never take for granted the sacrifices they make. Each time there is a terror attack or a tragedy like Grenfell, we see our emergency services doing us proud. We see off-duty medics, police, firefighters coming in to help their teams. And that’s to save as many lives as possible. I worked with Dr Martin Griffiths when I was at the Royal London and he’s a great example of this. Martin was off duty when the London...",https://www.mirror.co.uk/news/politics/dr-rosena-allin-khan-emergency-12637252,,"Emergency services do the nation proud, says Dr Rosena Allin-Khan",I know from day one what terror attacks do to the emergency services,,,-1.028169014084507
Tom Watson,53745,2018-06-03 13:49:52 EDT,Link,119,6,59,2,4,0,35,29,0,,0,0,0,https://www.facebook.com/tom.watson.uk/posts/1823840737637915,"Edward Daffarn predicted Grenfell. He predicted it in the blogs he wrote in the two years before the fire of June 14th 2017. We all read them afterwards, when it was too late, when 72 people were killed and hundreds of lives changed forever. Edward's first newspaper interview should be read by everyone. But most of all by politicians and public servants, who must vow that the voices of people like Edward Daffarn will never be ignored again.",https://www.theguardian.com/uk-news/2018/jun/03/grenfell-survivor-blames-landlords-cancerous-decisions-for-disaster,,Grenfell survivor blames landlord’s ‘cancerous’ decisions for disaster,"Exclusive: In his first newspaper interview, Edward Daffern explains how his repeated safety warnings were ignored",,,-1.578740157480315
Louise Haigh MP,4099,2018-06-02 10:44:00 EDT,Link,15,1,28,2,0,0,6,8,0,,0,0,0,https://www.facebook.com/LouiseHaighMP/posts/822864264591212,"The Met, where I served as a Special Constable, have acted heroically in the face of two terrorist attacks and the Grenfell tragedy over the last year. But due to the Government's decisions, like forces all over the country, they're overstretched and under-resourced.",http://www.bbc.co.uk/news/uk-england-london-44331429,,"'Stretched' police owed 189,000 days off","The chair of the Met Police Federation has described the amount of rest days owed as ""absurd"".",,,2.142857142857143
Ruth Cadbury MP,1746,2018-05-30 12:09:35 EDT,Native Video,18,0,4,0,0,0,0,0,0,original,190,230,0,https://www.facebook.com/RuthCadburyMP/posts/1749642245082948,"Eleven months after the Grenfell Tower fire, over 300 buildings have been found with dangerous cladding but only seven have been identified as having had it removed and replaced. Labour demands a complete overhaul of the discredited system of building safety checks and controls. In addition to current legal sanctions including fines and banning orders, Labour wants to see a new back-stop power for councils to seek court approval for the confiscation of any private block which is putting lives at risk because of dangerous cladding, and which the owner is refusing to fix.",https://www.facebook.com/RuthCadburyMP/videos/1749642245082948/,,Cladding,,,,-2.090909090909091
Angela Eagle,19431,2018-05-22 09:44:38 EDT,Native Video,25,2,1,0,0,0,0,1,0,original,315,331,0,https://www.facebook.com/angela4labour/posts/10160247094600316,"Yesterday, during an Urgent Question in Parliament about the use of cladding on residential buildings, I asked the Secretary of State for Housing whether he would ensure that there is sufficient enforcement of any new building regulations, in light of concerns raised in a report published by Dame Judith Hackitt. Her report into building safety regulations called for an overhaul of the construction industry to put safety above cutting costs. Her report highlighted concerns about increased privatisation of the building inspection regime leading to safety being compromised and a reduction in expertise within local authorities. This Government’s austerity policies have led to a reduction in the level of building safety inspectors and enforcement of building regulations. It is clear that the self-regulation of competitive industries, such as construction has not worked. It is therefore vital that the Government guarantees that there are adequate resources in place to inspect and enforce...",https://www.facebook.com/angela4labour/videos/10160247093045316/,,Grenfell,,,,-2.586206896551724
Imran Hussain MP,9311,2018-05-21 12:44:41 EDT,Status,5,0,0,1,0,0,0,0,0,,0,0,0,https://www.facebook.com/MP.ImranHussain/posts/2108096149480142,"Retweeted Richard Burgon MP (@RichardBurgon): Powerful testimony today from the bereaved Grenfell families on their battles for justice. Far too often in this country, the state has acted as a dam, holding back justice rather than helping it to flow. That cannot be allowed to happen again. https://t.co/JdaHwWri3k:=:https://twitter.com/RichardBurgon/status/998581906169106432/photo/1",,,,,,,-0.5714285714285714
Diane Abbott MP,46588,2018-05-21 08:17:00 EDT,Link,51,2,16,2,0,0,4,0,0,,0,0,0,https://www.facebook.com/Dianeabbott/posts/1100604140082043,"Listen to the Grenfell survivors and bereaved, Theresa May - ICYMI, here is Diane Abbott MP's recent piece on the #Grenfell inquiry.",https://labourlist.org/2018/05/diane-abbott-listen-to-the-grenfell-survivors-and-bereaved-theresa-may/,,"Diane Abbott: Listen to the Grenfell survivors and bereaved, Theresa May | LabourList","Theresa May has finally agreed to appoint a panel of experts to the Grenfell inquiry. This decision took a petition initiated by the survivors and bereaved families, thousands of signatures and an unrelenting campaign. This was a stress that the survivors and bereaved should not have had to face, an...",,,-1.6533333333333333
Richard Burgon MP,25759,2018-05-21 07:44:41 EDT,Link,45,12,82,0,1,0,6,63,0,,0,0,0,https://www.facebook.com/richardburgonmp/posts/2047861345488806,Disgraceful. The Government needs to ensure that the survivors and bereaved families are at the centre of the Grenfell Inqury if it is to get to the truth and deliver justice. This does nothing to build the trust needed.,https://www.independent.co.uk/news/uk/home-news/grenfell-tower-inquiry-attend-home-office-visa-delays-fire-victims-dead-a8357991.html,,Bereaved Grenfell relatives blocked from attending public inquiry because of home office visa delays,Bereaved relatives of Grenfell Tower victims who are set to be core participants in the inquiry into the blaze are still waiting to be granted formal rights to be in the UK hours before the hearing begins.,,,1.5954198473282444
Dr Rosena Allin-Khan,12761,2018-05-21 07:28:21 EDT,Photo,23,3,1,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/DrRosena/posts/630762407267155,"So brave of the Murphy family, from Tooting, to speak about their brother and father, Denis at the Grenfell Inquiry. Heartfelt, warming words, speaking of a generous man who had a real love for Chelsea FC.",https://www.facebook.com/DrRosena/photos/a.282482982095101.1073741829.276012652742134/630762387267157/?type=3,,,,,,-4.333333333333333
Stella Creasy,21919,2018-05-20 13:39:47 EDT,Link,4,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/stellacreasy/posts/10156381186144304,"Working for Walthamstow Newsletter Sunday 20th May 2018: Grenfell Inquiry Update, Violence in Gaza and Burma, Mayoral Youth Group Funding, Volunteer Op- CAB, Ramadan Message, Wadham Bowling Club Open Day http://www.workingforwalthamstow.org.uk/thenewsletter",http://www.workingforwalthamstow.org.uk/thenewsletter,,This Week's Newsletter,Working for Walthamstow,,,-9.25
Jess Phillips,3540,2018-05-18 10:18:13 EDT,Link,36,1,4,4,0,0,0,0,0,,0,0,0,https://www.facebook.com/jessphillipsyardley/posts/914224492091040,www.jessphillips.net/news/hillsborough-law-for-grenfell Jess has signed a letter from Alison McGovern to the Prime Minister supporting the 'Hillsborough Law' which would aid the enquiry into Grenfell and help provide justice for the victims and families of public disasters. Full information about the bill can be found at: https://www.thehillsboroughlaw.com,http://www.jessphillips.net/news/hillsborough-law-for-grenfell,,Jess Phillips MP for Birmingham Yardley,"Yardley MP Jess Phillips supports 'Hillsborough Law' to assist the Grenfell publc enquiry. Jess recently signed a letter sent by Alison McGovern MP to the Prime Minister, expressing cross-party support for the ‘Hillsborough Law’, the Public Authority (Accountability) Bill, to assist the Grenfell...",,,-1.4222222222222223
Diane Abbott MP,46432,2018-05-18 08:25:00 EDT,Link,69,6,18,3,0,0,1,0,0,,0,0,0,https://www.facebook.com/Dianeabbott/posts/1100608550081602,"ICYMI, here is Diane Abbott MP's recent piece on the #Grenfell Inquiry and why Theresa may must listen to the survivors & the bereaved.",http://dianeabbott.org.uk/news/articles/news.aspx?p=1021504,,"Listen to the Grenfell survivors and bereaved, Theresa May","Listen to the Grenfell survivors and bereaved, Theresa May",,,-1.2783505154639174
Richard Burgon MP,25670,2018-05-17 08:16:13 EDT,Link,34,2,10,0,0,0,3,2,0,,0,0,0,https://www.facebook.com/richardburgonmp/posts/2045843672357240,‪Grenfell families shouldn’t have to fight for justice. My new article following this week’s rally and debates in Parliament: ‬,https://morningstaronline.co.uk/article/grenfell-families-shouldn%E2%80%99t-have-fight-justice#.Wv1xpw0-Vz4.facebook,,Grenfell families shouldn’t have to fight for justice,"The granting of a panel for the Grenfell inquiry is a step forward, but why has it taken so long, so much effort, and why is its role so limited, asks RICHARD BURGON",,,-2.6666666666666665
"Kate Hollern, MP for Blackburn",1661,2018-05-17 08:16:10 EDT,Link,3,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/katehollernforblackburn/posts/1404260029678196,"Whilst Dame Hackitt's recommendation of stricter regulation is welcome, it has failed to recommend a ban on flammable cladding. The upcoming inquiry must recommend a ban on combustible building materials and be followed by new strict legislation. https://www.telegraph.co.uk/news/2018/05/17/grenfell-review-does-not-propose-ban-flammable-cladding-dame/",https://www.telegraph.co.uk/news/2018/05/17/grenfell-review-does-not-propose-ban-flammable-cladding-dame/,,"Grenfell review does not propose ban on flammable cladding, Dame Judith Hackitt confirms","A review into the Grenfell Tower fire has stopped short of recommending a ban on flammable cladding because it will ""not address the root causes"" of the problems in building regulations.",,,-8.0
Marie Rimmer,677,2018-05-17 07:29:55 EDT,Link,15,2,6,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/MarieRimmer/posts/2045283569017661,"It's vital that the Hillsborough Law is brought forward as soon as possible by the government, to make sure justice is done and the truth is always revealed for victims and their families in cases such as Hillsborough, and now Grenfell. I've joined with many colleagues in writing to Theresa May, urging her to expedite the Hillsborough Law to save more families from the pain of injustice. https://www.theguardian.com/law/2017/oct/31/labour-mps-call-for-theresa-may-to-back-hillsborough-law",https://www.theguardian.com/law/2017/oct/31/labour-mps-call-for-theresa-may-to-back-hillsborough-law,,Labour MPs call for Theresa May to back 'Hillsborough law',Bill proposed by Andy Burnham aims to tackle ‘culture of denial’ displayed over recent disasters and prevent bereaved families facing miscarriage of justice,,,1.0952380952380953
David Lammy,51096,2018-05-17 06:41:32 EDT,Link,385,37,238,2,46,0,36,237,0,,0,0,0,https://www.facebook.com/DavidLammyTottenham/posts/10155292682996541,A betrayal and a whitewash. My response to the Hackitt Review and the decision to not ban flammable cladding: This review is a betrayal and a whitewash. It is unthinkable and unacceptable that so many people can die in a disaster like Grenfell and one year on flammable cladding has not been banned. I will continue to stand with the Grenfell families and will continue to call for an outright ban on any combustible materials. The Grenfell families and the public needed a review that was fearless in standing up to the industry on behalf of all those who lost their lives in Grenfell with recommendations that ensure that an atrocity like Grenfell can never happen again. ]] I simply fail to see how it is deemed appropriate for any combustible material to be used on any tower block in this country and I find it unfathomable that this review has not recommended an outright ban on combustible material.,http://www.bbc.co.uk/news/uk-44148694,,Grenfell review does not urge cladding ban,"It is more important to stop people cutting corners in the building industry, the review lead says.",,,2.0652631578947367
Alison McGovern MP,2511,2018-05-16 10:38:52 EDT,Photo,7,1,4,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/alisonmcgovernforwirralsouth/posts/1474204166017735,I have sent a letter to the Prime Minister to urgently highlight the need for a Hillsborough Law. Especially at a time when we are debating the aftermath of the Grenfell fire in the House of Commons.,https://www.facebook.com/alisonmcgovernforwirralsouth/photos/a.539504379487723.1073741830.524096984361796/1474199579351527/?type=3,,Photos from Alison McGovern MP's post,,,,-1.75
Imran Hussain MP,9255,2018-05-16 10:05:14 EDT,Status,3,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/MP.ImranHussain/posts/2105636119726145,"Retweeted Marsha de Cordova MP (@MarshadeCordova): The Govt should have done this immediately after the Grenfell fire. Instead, they’ve caused 11 months of fear & stress for all those affected. Well done to the tireless campaigners & survivors whose pressure made this happen. https://t.co/ZereJvUk1w:=:https://www.theguardian.com/uk-news/2018/may/16/theresa-may-pledges-400m-to-remove-grenfell-style-cladding?utm_source=dlvr.it&utm_medium=twitter",,,,,,,-0.7857142857142857
Naz Shah MP,18987,2018-05-16 08:22:24 EDT,Link,48,1,3,0,0,0,0,2,0,,0,0,0,https://www.facebook.com/NazShahMP/posts/1851194078514422,"The government is abdicating its responsibility to leaseholders like those with flats in Landmark House. Whilst Ministers pay lip service to cost recovery via other means, the reality on the ground is that developers are simply passing the cost of re-cladding on to residents. This is completely unacceptable. Leaseholders brought their homes on the understanding that these buildings were fully compliant with safety legislation. It is absolutely wrong that residents like those at Landmark House should have to pay ro remedy deficiencies in the building of which they were completely unaware.” http://www.thetelegraphandargus.co.uk/news/16227517.Bradford_flats_must_have_Grenfell-style_cladding_removed__immediately__-_MP/#comments-anchor",http://www.thetelegraphandargus.co.uk/news/16227517.Bradford_flats_must_have_Grenfell-style_cladding_removed__immediately__-_MP/#comments-anchor,,Bradford flats must have Grenfell-style cladding removed 'immediately' - MP,Tenants face being asked to pay for their own fire warden if the building isn’t renovated.,,,-1.7592592592592593
