Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Jeremy Corbyn,1395716,2018-06-05 14:29:00 EDT,Native Video,3214,225,851,505,10,32,3,6,0,original,48340,62375,0,https://www.facebook.com/JeremyCorbynMP/posts/10156494057313872,"It was a pleasure to be at Al Manaar Mosque for yesterday's Iftar, the moment at the end of a day of fasting when people come together to share a meal. Al Manaar Mosque is just a mile from Grenfell Tower and its members were among the first people to respond to the tragic fire.",https://www.facebook.com/JeremyCorbynMP/videos/10156494057313872/,,Jeremy Corbyn | Breaking Iftar During Ramadan,,,,1.511540860885839
Jeremy Corbyn,1394830,2018-06-04 17:04:41 EDT,Photo,28522,2005,8411,5803,123,91,7,69,0,,0,0,0,https://www.facebook.com/JeremyCorbynMP/posts/10156492374593872,"It was a pleasure to help prepare food at Al-Manaar Mosque for this evening's Iftar, the moment at the end of a day of fasting during Ramadan when people come together to share a meal. It's just a mile from Grenfell Tower and worshippers here were among the first to respond to last year's tragic fire. They continue to provide for the community and have opened a Grenfell counselling service.",https://www.facebook.com/JeremyCorbynMP/photos/a.468063663871.262492.330250343871/10156492374078872/?type=3,,,,,,9.178760701182226
Tom Watson,53745,2018-06-03 13:49:52 EDT,Link,119,6,59,2,4,0,35,29,0,,0,0,0,https://www.facebook.com/tom.watson.uk/posts/1823840737637915,"Edward Daffarn predicted Grenfell. He predicted it in the blogs he wrote in the two years before the fire of June 14th 2017. We all read them afterwards, when it was too late, when 72 people were killed and hundreds of lives changed forever. Edward's first newspaper interview should be read by everyone. But most of all by politicians and public servants, who must vow that the voices of people like Edward Daffarn will never be ignored again.",https://www.theguardian.com/uk-news/2018/jun/03/grenfell-survivor-blames-landlords-cancerous-decisions-for-disaster,,Grenfell survivor blames landlord’s ‘cancerous’ decisions for disaster,"Exclusive: In his first newspaper interview, Edward Daffern explains how his repeated safety warnings were ignored",,,-1.578740157480315
Louise Haigh MP,4099,2018-06-02 10:44:00 EDT,Link,15,1,28,2,0,0,6,8,0,,0,0,0,https://www.facebook.com/LouiseHaighMP/posts/822864264591212,"The Met, where I served as a Special Constable, have acted heroically in the face of two terrorist attacks and the Grenfell tragedy over the last year. But due to the Government's decisions, like forces all over the country, they're overstretched and under-resourced.",http://www.bbc.co.uk/news/uk-england-london-44331429,,"'Stretched' police owed 189,000 days off","The chair of the Met Police Federation has described the amount of rest days owed as ""absurd"".",,,2.142857142857143
Ruth Cadbury MP,1746,2018-05-30 12:09:35 EDT,Native Video,18,0,4,0,0,0,0,0,0,original,190,230,0,https://www.facebook.com/RuthCadburyMP/posts/1749642245082948,"Eleven months after the Grenfell Tower fire, over 300 buildings have been found with dangerous cladding but only seven have been identified as having had it removed and replaced. Labour demands a complete overhaul of the discredited system of building safety checks and controls. In addition to current legal sanctions including fines and banning orders, Labour wants to see a new back-stop power for councils to seek court approval for the confiscation of any private block which is putting lives at risk because of dangerous cladding, and which the owner is refusing to fix.",https://www.facebook.com/RuthCadburyMP/videos/1749642245082948/,,Cladding,,,,-2.090909090909091
Carol Monaghan - MP for Glasgow North West,2214,2018-05-24 11:00:01 EDT,Link,66,3,9,5,0,0,0,0,0,,0,0,0,https://www.facebook.com/CarolMonaghanSNP/posts/1496653070461884,"This is extremely welcome news to the residents of Glasgow Harbour who have been subject to many months of uncertainty and distress. After it was reported that Barratt Homes had agreed to meet the £2 million cost of replacing similar cladding on an effected tower block in Croydon, as well as the employment of fire wardens, I wrote to Taylor Wimpey urging that similar steps be taken at Glasgow Harbour. I’m delighted to learn that they will indeed meet the direct costs of removing and replacing the cladding, as well as the associated fire safety measures which have been in place since this first came to light. I recognise that the issue is not yet concluded, but hopefully this positive news signals the beginning of the end.",http://www.carol.monaghan.scot/2018/05/24/glasgow-harbour/,,MP responds as Glasgow Harbour developers agree to cover cost of removing Grenfell-style cladding,A Glasgow MP has welcomed the news that residents of a west end apartment complex are to be spared a £10million bill to remove Grenfell-style cladding.,,,1.5961538461538463
Nigel Huddleston MP,756,2018-05-23 09:03:28 EDT,Native Video,22,6,1,0,0,0,0,0,0,original,326,982,0,https://www.facebook.com/NigelHuddlestonMP/posts/1048934605254791,"In PMQs today, I asked the Prime Minister to confirm that it is her intention to go further than Dame Judith Hackitt's recommendations on building safety regulations and ban inflamable cladding, so that we avoid a horrific tragedy like Grenfell ever happening again. I was delighted that the Prime Minister confirmed that the Government is minded to go further than the recommendations and ban all combustible materials in cladding on high rise buildings.",https://www.facebook.com/NigelHuddlestonMP/videos/1048934605254791/,,PMQ on Grenfell Inquiry,,,,1.380952380952381
Angela Eagle,19431,2018-05-22 09:44:38 EDT,Native Video,25,2,1,0,0,0,0,1,0,original,315,331,0,https://www.facebook.com/angela4labour/posts/10160247094600316,"Yesterday, during an Urgent Question in Parliament about the use of cladding on residential buildings, I asked the Secretary of State for Housing whether he would ensure that there is sufficient enforcement of any new building regulations, in light of concerns raised in a report published by Dame Judith Hackitt. Her report into building safety regulations called for an overhaul of the construction industry to put safety above cutting costs. Her report highlighted concerns about increased privatisation of the building inspection regime leading to safety being compromised and a reduction in expertise within local authorities. This Government’s austerity policies have led to a reduction in the level of building safety inspectors and enforcement of building regulations. It is clear that the self-regulation of competitive industries, such as construction has not worked. It is therefore vital that the Government guarantees that there are adequate resources in place to inspect and enforce...",https://www.facebook.com/angela4labour/videos/10160247093045316/,,Grenfell,,,,-2.586206896551724
Diane Abbott MP,46588,2018-05-21 08:17:00 EDT,Link,51,2,16,2,0,0,4,0,0,,0,0,0,https://www.facebook.com/Dianeabbott/posts/1100604140082043,"Listen to the Grenfell survivors and bereaved, Theresa May - ICYMI, here is Diane Abbott MP's recent piece on the #Grenfell inquiry.",https://labourlist.org/2018/05/diane-abbott-listen-to-the-grenfell-survivors-and-bereaved-theresa-may/,,"Diane Abbott: Listen to the Grenfell survivors and bereaved, Theresa May | LabourList","Theresa May has finally agreed to appoint a panel of experts to the Grenfell inquiry. This decision took a petition initiated by the survivors and bereaved families, thousands of signatures and an unrelenting campaign. This was a stress that the survivors and bereaved should not have had to face, an...",,,-1.6533333333333333
Stella Creasy,21919,2018-05-20 13:39:47 EDT,Link,4,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/stellacreasy/posts/10156381186144304,"Working for Walthamstow Newsletter Sunday 20th May 2018: Grenfell Inquiry Update, Violence in Gaza and Burma, Mayoral Youth Group Funding, Volunteer Op- CAB, Ramadan Message, Wadham Bowling Club Open Day http://www.workingforwalthamstow.org.uk/thenewsletter",http://www.workingforwalthamstow.org.uk/thenewsletter,,This Week's Newsletter,Working for Walthamstow,,,-9.25
